iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
28,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,1,0,0.963001,0.99125,0.012822,0.00858548,137.226
28,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,2,0,0.961478,0.990924,0.0133499,0.00890567,136.818
28,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,3,0,0.527798,0.85059,0.16364,0.146599,12.6418
29,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,0,1,0,-29.3513,-4.91234,24.2517,6.44001,113.638
29,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,0,2,0,0.938027,0.988238,0.0495186,0.0128122,108.244
29,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,0,3,0,-0.464329,0.0230954,1.17005,1.06409,9.89301
30,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,1,0,-20.9553,-4.62609,12.4509,6.15454,119.329
30,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,2,0,-20.5679,-4.64674,12.2312,6.17714,141.389
30,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,3,0,-1.18562,0.0290352,1.23947,1.06217,14.1925
31,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,1,0,0.957962,0.989147,0.0180031,0.0104163,144.882
31,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,2,0,0.948999,0.98634,0.0218411,0.0131104,128.708
31,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,3,0,-0.0371997,0.537318,0.444184,0.444057,13.9762
32,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,1,0,0.193704,0.99012,0.0122597,0.0122053,120.681
32,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,2,0,0.240023,0.990661,0.0115554,0.0115372,121.985
32,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,3,0,-9.40847,0.871909,0.15826,0.15824,10.8791
33,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,1,0,-7.66471,0.91132,9.41069,0.105295,134.497
33,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,2,0,-43.6633,0.912748,48.5085,0.103599,139.971
33,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,3,0,0.126609,0.652028,0.948585,0.413165,12.4506
34,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,1,0,0.532922,0.889581,0.320972,0.106388,201.555
34,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,2,0,0.0112974,0.891404,0.679428,0.104631,144.59
34,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,3,0,0.557872,0.867654,0.303827,0.127514,7.73719
35,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,1,0,0.640829,0.91899,0.120591,0.0899303,137.962
35,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,2,0,0.644705,0.91654,0.11929,0.0926503,139.508
35,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,3,0,0.647801,0.916837,0.11825,0.0923198,6.15527
36,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,1,0,-67.9279,0.909575,65.7247,0.0941803,133.129
36,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,2,0,-225.22,0.91575,215.707,0.087749,132.359
36,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,3,0,0.0325199,0.305754,0.922519,0.723076,9.64893
37,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,1,0,1,0,0.550326,0.905973,0.310655,0.107133,137.328
37,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,1,0,2,0,0.679048,0.922999,0.221728,0.0877338,122.406
37,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,1,0,3,0,0.502659,0.757191,0.343585,0.276653,15.4162
38,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,1,1,1,0,-19.8512,0.860885,18.282,0.144737,127.046
38,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,1,1,2,0,-625.722,0.828415,549.501,0.17852,125.976
38,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,1,1,3,0,0.0758857,0.242118,0.810251,0.788512,11.5976
39,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,0,0,1,0,0.111126,0.885075,0.656974,0.117446,130.726
39,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,0,0,2,0,0.304264,0.887608,0.514225,0.114858,132.08
39,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,0,0,3,0,0.524536,0.807732,0.35142,0.196485,12.1163
40,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,0,1,1,0,-32.9481,-0.189008,11.8638,1.36335,133.935
40,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,0,1,2,0,0.652127,0.920579,0.121571,0.0910667,129.636
40,100,0.1,0.2,100,1,500,2,1,0.3,0.1,2.5,0,1,3,0,0.629192,0.90554,0.129586,0.108311,8.02952
