iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,mse,timeMs
162,50,0.01,0.2,50,500,1000,10,2,0.3,0.3,1,0,0,1.99326,77.9581
163,50,0.01,0.2,50,500,1000,10,2,0.3,0.3,10,1,0,203.891,95.2656
164,50,0.01,0.2,50,500,1000,10,2,0.3,0.3,10,0,0,65.3556,99.4534
165,50,0.01,0.2,50,500,1000,10,2,0.3,0.5,1,1,0,5.37973,96.7441
166,50,0.01,0.2,50,500,1000,10,2,0.3,0.5,1,0,0,3.16677,85.9214
167,50,0.01,0.2,50,500,1000,10,2,0.3,0.5,10,1,0,175.689,165.519
168,50,0.01,0.2,50,500,1000,10,2,0.3,0.5,10,0,0,99.9197,131.138
169,50,0.01,0.2,50,500,1000,10,2,0.8,0,1,1,0,5.42329,95.8339
170,50,0.01,0.2,50,500,1000,10,2,0.8,0,1,0,0,5.68884,95.7617
171,50,0.01,0.2,50,500,1000,10,2,0.8,0,10,1,0,5.27918,98.4403
172,50,0.01,0.2,50,500,1000,10,2,0.8,0,10,0,0,5.69005,95.356
173,50,0.01,0.2,50,500,1000,10,2,0.8,0.3,1,1,0,7.87217,100.178
174,50,0.01,0.2,50,500,1000,10,2,0.8,0.3,1,0,0,6.98852,94.6097
175,50,0.01,0.2,50,500,1000,10,2,0.8,0.3,10,1,0,178.358,142.551
176,50,0.01,0.2,50,500,1000,10,2,0.8,0.3,10,0,0,63.6528,125.862
177,50,0.01,0.2,50,500,1000,10,2,0.8,0.5,1,1,0,8.12182,108.281
178,50,0.01,0.2,50,500,1000,10,2,0.8,0.5,1,0,0,6.30157,107.654
179,50,0.01,0.2,50,500,1000,10,2,0.8,0.5,10,1,0,278.39,171.977
180,50,0.01,0.2,50,500,1000,10,2,0.8,0.5,10,0,0,101.246,134.236
181,50,0.01,0.2,50,500,1000,10,5,0.01,0,1,1,0,0.00109147,8.40108
182,50,0.01,0.2,50,500,1000,10,5,0.01,0,1,0,0,0.00149385,8.60902
183,50,0.01,0.2,50,500,1000,10,5,0.01,0,10,1,0,0.00195665,8.28144
184,50,0.01,0.2,50,500,1000,10,5,0.01,0,10,0,0,0.00107759,8.62709
185,50,0.01,0.2,50,500,1000,10,5,0.01,0.3,1,1,0,2.37556,62.4282
186,50,0.01,0.2,50,500,1000,10,5,0.01,0.3,1,0,0,0.587895,33.4102
187,50,0.01,0.2,50,500,1000,10,5,0.01,0.3,10,1,0,93.9223,71.0838
188,50,0.01,0.2,50,500,1000,10,5,0.01,0.3,10,0,0,41.907,48.2658
189,50,0.01,0.2,50,500,1000,10,5,0.01,0.5,1,1,0,2.82843,83.6427
190,50,0.01,0.2,50,500,1000,10,5,0.01,0.5,1,0,0,1.31124,58.4027
191,50,0.01,0.2,50,500,1000,10,5,0.01,0.5,10,1,0,59.8356,101.543
192,50,0.01,0.2,50,500,1000,10,5,0.01,0.5,10,0,0,6.11026,101.218
193,50,0.01,0.2,50,500,1000,10,5,0.3,0,1,1,0,0.594194,59.9026
194,50,0.01,0.2,50,500,1000,10,5,0.3,0,1,0,0,1.35428,54.5676
195,50,0.01,0.2,50,500,1000,10,5,0.3,0,10,1,0,0.6005,58.5918
196,50,0.01,0.2,50,500,1000,10,5,0.3,0,10,0,0,0.645121,54.368
197,50,0.01,0.2,50,500,1000,10,5,0.3,0.3,1,1,0,2.23313,71.6483
198,50,0.01,0.2,50,500,1000,10,5,0.3,0.3,1,0,0,1.03638,67.6715
199,50,0.01,0.2,50,500,1000,10,5,0.3,0.3,10,1,0,118.732,83.7997
200,50,0.01,0.2,50,500,1000,10,5,0.3,0.3,10,0,0,28.6885,77.8583
201,50,0.01,0.2,50,500,1000,10,5,0.3,0.5,1,1,0,3.10456,82.6635
202,50,0.01,0.2,50,500,1000,10,5,0.3,0.5,1,0,0,1.50019,76.3713
203,50,0.01,0.2,50,500,1000,10,5,0.3,0.5,10,1,0,24.726,102.952
