iteration,variation,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,mse,timeMs
124,3,100,0.0001,0.2,10,1,100,4,1,0.1,0,2,0,0.0129823,12.1177
125,3,100,0.0001,0.2,10,1,100,4,1,0.1,0.1,1,1,0.179648,12.7956
126,3,100,0.0001,0.2,10,1,100,4,1,0.1,0.1,1,0,0.0226551,12.5005
127,3,100,0.0001,0.2,10,1,100,4,1,0.1,0.1,2,1,63.3759,17.1015
128,3,100,0.0001,0.2,10,1,100,4,1,0.1,0.1,2,0,2.44795,16.6704
129,3,100,0.0001,0.2,10,1,100,4,2,0.01,0,1,1,0.026931,1.4369
130,3,100,0.0001,0.2,10,1,100,4,2,0.01,0,1,0,0.0362534,1.4346
131,3,100,0.0001,0.2,10,1,100,4,2,0.01,0,2,1,0.00337581,1.50686
132,3,100,0.0001,0.2,10,1,100,4,2,0.01,0,2,0,0.000513472,1.45446
133,3,100,0.0001,0.2,10,1,100,4,2,0.01,0.1,1,1,6.64668,1.27806
134,3,100,0.0001,0.2,10,1,100,4,2,0.01,0.1,1,0,1.29673,0.90159
135,3,100,0.0001,0.2,10,1,100,4,2,0.01,0.1,2,1,3.95111,0.86611
136,3,100,0.0001,0.2,10,1,100,4,2,0.01,0.1,2,0,39.5737,0.857782
137,3,100,0.0001,0.2,10,1,100,4,2,0.1,0,1,1,0.0110394,10.0958
138,3,100,0.0001,0.2,10,1,100,4,2,0.1,0,1,0,0.160619,9.20642
139,3,100,0.0001,0.2,10,1,100,4,2,0.1,0,2,1,0.0677257,8.70908
140,3,100,0.0001,0.2,10,1,100,4,2,0.1,0,2,0,0.0185011,8.43831
141,3,100,0.0001,0.2,10,1,100,4,2,0.1,0.1,1,1,1.74446,10.0781
142,3,100,0.0001,0.2,10,1,100,4,2,0.1,0.1,1,0,0.0634083,9.4843
143,3,100,0.0001,0.2,10,1,100,4,2,0.1,0.1,2,1,475.191,7.99263
144,3,100,0.0001,0.2,10,1,100,4,2,0.1,0.1,2,0,595.827,9.16402
145,1,100,0.0001,0.2,10,1,100,4,3,0.01,0,1,1,0.000617375,0.273813
145,2,100,0.0001,0.2,10,1,100,4,3,0.01,0,1,1,0.00440143,0.25133
145,3,100,0.0001,0.2,10,1,100,4,3,0.01,0,1,1,0.0327898,1.20552
146,1,100,0.0001,0.2,10,1,100,4,3,0.01,0,1,0,0.384202,0.659274
146,2,100,0.0001,0.2,10,1,100,4,3,0.01,0,1,0,0.220114,0.760917
146,3,100,0.0001,0.2,10,1,100,4,3,0.01,0,1,0,19.9457,1.52768
147,1,100,0.0001,0.2,10,1,100,4,3,0.01,0,2,1,0.0686101,0.219725
147,2,100,0.0001,0.2,10,1,100,4,3,0.01,0,2,1,0.0611269,0.219863
147,3,100,0.0001,0.2,10,1,100,4,3,0.01,0,2,1,118.087,1.46404
148,1,100,0.0001,0.2,10,1,100,4,3,0.01,0,2,0,0.0112368,0.21229
148,2,100,0.0001,0.2,10,1,100,4,3,0.01,0,2,0,0.0114036,0.180243
148,3,100,0.0001,0.2,10,1,100,4,3,0.01,0,2,0,0.0707519,1.03383
149,1,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,1,1,2.23671,0.191269
149,2,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,1,1,1.87556,0.172308
149,3,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,1,1,2.40748,1.28643
150,1,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,1,0,14.3557,0.27502
150,2,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,1,0,12.1378,0.143342
150,3,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,1,0,187.23,0.946751
151,1,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,2,1,1.34432,0.193555
151,2,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,2,1,1.60172,0.1897
151,3,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,2,1,1.84288,1.05648
152,1,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,2,0,47.1887,0.143793
152,2,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,2,0,34.0615,0.137406
152,3,100,0.0001,0.2,10,1,100,4,3,0.01,0.1,2,0,50.1989,0.978297
153,1,100,0.0001,0.2,10,1,100,4,3,0.1,0,1,1,0.113806,0.146686
153,2,100,0.0001,0.2,10,1,100,4,3,0.1,0,1,1,0.0353588,0.139232
153,3,100,0.0001,0.2,10,1,100,4,3,0.1,0,1,1,0.0841936,0.752452
154,1,100,0.0001,0.2,10,1,100,4,3,0.1,0,1,0,0.0526791,0.149707
154,2,100,0.0001,0.2,10,1,100,4,3,0.1,0,1,0,0.0443519,0.182754
154,3,100,0.0001,0.2,10,1,100,4,3,0.1,0,1,0,0.0201866,1.16938
155,1,100,0.0001,0.2,10,1,100,4,3,0.1,0,2,1,0.0171502,0.197586
155,2,100,0.0001,0.2,10,1,100,4,3,0.1,0,2,1,0.0209385,0.190651
155,3,100,0.0001,0.2,10,1,100,4,3,0.1,0,2,1,0.0204013,1.08753
156,1,100,0.0001,0.2,10,1,100,4,3,0.1,0,2,0,0.754848,1.50226
156,2,100,0.0001,0.2,10,1,100,4,3,0.1,0,2,0,1.37306,1.76896
156,3,100,0.0001,0.2,10,1,100,4,3,0.1,0,2,0,0.758177,1.34776
157,1,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,1,1,0.267749,0.161645
157,2,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,1,1,0.270753,0.490105
157,3,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,1,1,0.319646,0.746203
158,1,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,1,0,0.265988,0.402352
158,2,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,1,0,0.275249,0.27296
158,3,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,1,0,0.824701,0.841293
159,1,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,2,1,1.13437,0.327549
159,2,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,2,1,0.853319,0.144292
159,3,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,2,1,0.720977,0.84506
160,1,100,0.0001,0.2,10,1,100,4,3,0.1,0.1,2,0,0.299669,0.492617
