iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression_inlier,r2_orthogonal_inlier,mse_regression_inlier,mse_orthogonal_inlier,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
22,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,1,0,0.951339,0.990255,0.0125402,0.00910034,-0.624837,0.231911,4.34021,3.14966,8.37118
22,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,2,0,0.949053,0.989979,0.0131292,0.00935866,-0.651807,0.233021,4.41225,3.14511,6.93116
22,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,3,0,-3.32932,0.178249,1.11569,0.767414,0.216232,0.648826,2.09357,1.44004,3.78051
23,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,1,0,0.146705,0.985557,0.0133783,0.0133475,0.00328013,0.482956,1.02522,1.02285,7.17467
23,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,2,0,0.22378,0.986918,0.0121699,0.0120895,0.00292373,0.485,1.02558,1.01881,8.90579
23,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,3,0,0.235749,0.987076,0.0119822,0.0119436,0.00321221,0.483397,1.02529,1.02198,2.60559
24,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,1,0,-0.319152,0.988282,0.0123287,0.0123257,-0.000875906,0.513827,0.979742,0.979509,7.09877
24,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,2,0,-0.0532469,0.990642,0.00984354,0.00984336,-0.002166,0.513093,0.981005,0.980987,6.50107
24,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,3,0,-0.23648,0.98902,0.011556,0.0115503,-0.000575926,0.514099,0.979449,0.97896,1.28308
25,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,1,0,0.523599,0.871568,0.197157,0.13517,0.523599,0.871568,0.197157,0.13517,5.96924
25,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,2,0,0.633418,0.904865,0.151709,0.100127,0.633418,0.904865,0.151709,0.100127,5.65793
25,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,3,0,0.674158,0.910786,0.134849,0.0938945,0.674158,0.910786,0.134849,0.0938945,1.07356
26,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,1,0,-0.32292,0.877319,0.142316,0.141272,-0.32292,0.877319,0.142316,0.141272,5.8788
26,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,2,0,-0.263261,0.882311,0.135898,0.135524,-0.263261,0.882311,0.135898,0.135524,5.31597
26,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,3,0,0.127095,0.919507,0.0939046,0.0926907,0.127095,0.919507,0.0939046,0.0926907,0.869986
27,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,1,0,-0.465631,0.891088,0.125978,0.125422,-0.465631,0.891088,0.125978,0.125422,6.99547
27,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,2,0,-0.421496,0.894154,0.122184,0.121891,-0.421496,0.894154,0.122184,0.121891,4.88421
27,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,3,0,0.00412319,0.925692,0.0856004,0.085572,0.00412319,0.925692,0.0856004,0.085572,0.731837
28,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,1,0,0.396697,0.87525,0.141352,0.137001,0.396697,0.87525,0.141352,0.137001,5.66437
28,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,2,0,0.555741,0.915161,0.104089,0.0931711,0.555741,0.915161,0.104089,0.0931711,5.53326
